Country Name,Country Code,Indicator Name,Indicator Code,Attribute,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Austria,122,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.995999999,21.358,21.358,24.413999999,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,26.000000025,24.9855838961397,23.1153333323333,19.5799999990833,18.692499999,17.4167499991667,17.9396666658333,16.526916666,14.52166666575,13.3674999994167,12.9379999990833,15.9268333323333,17.0592499991667,17.9633333325,20.0090833326667,20.6894999998333,15.2671333333333,12.6425,12.3476666666667,13.2306666666667,11.3698333333333,11.6759166666667,10.9893333333333,11.6321825,11.4218249166667,10.0814958333333,10.5865575,12.2042441666667,12.379065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burundi,618,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,84.375000080125,87.5000000875,87.5000000875,87.5000000875,87.5000000875,87.5000000875,87.50000008020832,87.5,80.02608333333332,78.75,78.75,86.25,90,90,90,90,90,90,92.94833333316669,119.7091666661667,120.6907499994166,114.1710833331667,123.5638333333334,140.395,158.6666666666667,171.2554166666666,181.5125833333334,208.3026666666666,242.78,252.6625,249.7575,302.7466666666668,352.3508333333332,447.7658333333332,563.5625,720.6733333333332,830.3533333333332,930.7491666666665,1082.62,1100.9,1081.577166666667,1028.683553,1081.8696825,1185.690833333334,1230.179166666667,1230.748333333333,1261.073333333333,1442.505625,1555.090833333333,1546.686666666667,1571.898333333334,1654.626666666667,1729.055,1782.876875,1845.62289069697,1915.046175833333,1975.950881387681,2034.306634304721,2574.05174879329,2885.24549799567,NA
Belgium,124,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,50.000000049,49.0569774216899,44.0145833323333,38.976499999,38.951499999,36.7789166656667,38.6051666656667,35.842749999,31.4920833323333,29.3186666656667,29.24166666575,37.1292499991667,45.6905833323333,51.1316666658333,57.7839166664167,59.378,44.6719166666667,37.3340833333333,36.7683333333333,39.404,33.4179166666667,34.14825,32.1495,34.5965208333333,33.4564975,29.4800166666667,30.9615133333333,35.7738908333333,36.2986408333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Benin,638,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.840666544651,174.980667078374,174.985667097436,174.980667078374,174.985667097436,174.985667097436,174.895666754328,180.821105973032,210.238718125891,245.213434789085,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319193,710.207977031373,732.397693260192,693.713226496371,579.897426172445,527.338032291584,527.258362649643,522.42562489518,478.633718476359,446.000041432788,470.293423341398,494.794262222936,471.248625718934,510.556338454251,493.899623852233,493.757329875319,591.21169798261,592.605615063006,580.656749587853,555.446458398235,585.950813757166,574.294549649056,554.607798864163,622.912348249567,606.654982255763,606.3452976090625,581.9284810403395
Burkina Faso,748,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.840666544651,174.980667078374,174.985667097436,174.980667078374,174.985667097436,174.985667097436,174.895666754328,180.821105973032,210.238718125891,245.213434789085,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319164,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917,606.3452976090625,581.9284810403395
Belize,339,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.42857000042857,1.448411666996031,1.66667000066667,1.66667000066667,1.66667000066667,1.643682118134366,1.601561846120032,1.63268378119723,1.710926784079048,1.808043704643561,2.225673131651563,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bolivia,218,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e-8,6e-8,6e-8,1.9e-7,1.9e-7,1.9e-7,7.76e-6,8.33e-6,9.6975e-6,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.188e-5,1.3295e-5,2.001e-5,2.001e-5,2.001e-5,2.001e-5,2.001e-5,2.001e-5,2.040333333333333e-5,2.452e-5,2.452e-5,6.407166666666669e-5,2.3163e-4,0.003135909166666668,0.4400290083333332,1.921958333333333,2.05485,2.350241666666666,2.691683333333332,3.17265,3.580608333333332,3.900516666666665,4.265083333333335,4.620516666666665,4.800341666666665,5.0746125,5.254258333333332,5.510133333333335,5.812408333333332,6.183541666666668,6.606916666666668,7.170000000000002,7.659166666666668,7.936266666666665,8.066062499999997,8.011616666666669,7.85124516125,7.238320698916665,7.02,7.016666666666668,6.936962499999998,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91,6.91
Brazil,223,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.22231890578776e-15,8.22231890578776e-15,8.22231890578776e-15,1.86084055119239e-14,2.63979707910913e-14,3.07255070572954e-14,3.0292753430675e-14,3.303352639927088e-14,5.593340588005978e-14,6.527367172674252e-14,8.099705334969945e-14,1.168434788268823e-13,1.677641554870912e-13,2.488693976761998e-13,5.42023917053559e-13,8.216548853465912e-13,9.60713051097307e-13,1.152603221340616e-12,1.469595252767934e-12,1.763362839638755e-12,1.987853783448092e-12,2.288220863124874e-12,2.567960019932748e-12,2.650940527837212e-12,2.9383610615176e-12,3.516844471938495e-12,4.61870733099062e-12,6.12086729455843e-12,7.819749844191373e-12,1.166069072006302e-11,2.281231892444434e-11,4.03001093531326e-11,7.768544271710992e-11,2.497181722211352e-10,7.997413239741378e-10,2.683242340845918e-9,5.909682267492505e-9,1.697630782458403e-8,1.1354767374037e-7,1.226387434737437e-6,2.955726789426992e-5,1.759614430860239e-4,0.001953023522488111,0.038276610926673,0.6646835140705768,0.9176666666666665,1.0051,1.077991666666666,1.160516666666667,1.813932846572129,1.829423122075611,2.34963170932244,2.920363017755192,3.077475118478015,2.925119449515862,2.434390036231884,2.175326666666666,1.947058333333333,1.833766666666667,1.999428173144258,1.759226710587178,1.672828755256592,1.953068611124869,2.156089151263111,2.352951962766688,3.326904382768792,3.491313421572705,3.19138944630048,3.653825361457552,3.944471097250702,5.155178787512808,5.39440078962503,5.163970291021112,4.99437976287199,5.388934905709595,5.58728623856661
Barbados,316,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.71429000071429,1.738099167261908,2.000000001,2.000000001,2.000000001,1.974876151968773,1.921280710357255,1.959220537436676,2.053230910788784,2.0188665976,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Brunei Darussalam,516,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.06122000206122,3.05226042980931,2.81955586834381,2.458579654945318,2.436866665833333,2.371299999083333,2.470841665916666,2.43939999925,2.274024999166667,2.1745583325,2.141208332583333,2.112691666,2.140024999166667,2.113049999,2.133083333,2.200149999666667,2.1774166665,2.105983333333333,2.012425,1.950258333333334,1.812533333333333,1.72755,1.628966666666666,1.615790833333334,1.527444166666666,1.417375,1.410040833333333,1.484805833333333,1.673601666666666,1.694956666666666,1.723963333333333,1.7917225,1.790588333333334,1.742183333333334,1.690228333333333,1.6643975,1.588933333333334,1.507101666666667,1.417166666666667,1.454569273323295,1.363509473684211,1.257913020146921,1.249567016499582,1.251165669760594,1.267040123081396,1.374910844598871,1.381346876882863,1.380891164052807,1.348918565425372,1.364218514054746,1.379703429713991,1.343806962973387,1.378956396522158,1.343079601149338,1.33603327650724,1.307595108858004
Bhutan,514,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,4.7619000037619,6.359125005359125,7.5000000065,7.5000000065,7.5000000065,7.5000000065,7.491935230968242,7.594468373949362,7.742038562149682,8.101603227218298,8.375891945653859,8.960412728123922,8.738576171314575,8.192840348403928,8.125790946356892,7.862944701137982,8.658522817093168,9.45513193348639,10.09889824404612,11.36258333266667,12.36874999958333,12.61083333325,12.9615,13.91708333333333,16.2255,17.5035,22.74243333333334,25.91808333333332,30.49329166666668,31.3737425,32.42707666666668,35.43317333333332,36.31328583333332,41.259365,43.05542833333335,44.941605,47.18641416666665,48.61031916666668,46.58328416666668,45.31646666666665,44.099975,45.30700833333335,41.34853333333332,43.50518333333332,48.40526666666665,45.72581212121212,46.67046666666668,53.43723333333332,58.59784541666668,61.0295144607843,64.1519444632786,67.19531280738939,65.12156864506595,68.38946709354215,70.42034053595508,74.09956688360525,73.91801281543512,78.60449058299157,82.59927644607845,83.669281580941,87.15844835073932
Botswana,616,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.716075904558207,0.716332378736149,0.716845878649406,0.711997152519399,0.713012478227454,0.717360115291376,0.716332378736149,0.7168969571400398,0.7127055341041522,0.7130019023740838,0.7133208821692152,0.7146944350861778,0.7132654942716765,0.7152871852502612,0.7172586462458945,0.7163344011426795,0.7169834316338728,0.7170496191376882,0.7169981561101972,0.7180571254276789,0.7164135200369365,0.7124437617491488,0.7728284110384622,0.6941141375837508,0.6794770035702512,0.739507700509474,0.869564999,0.8419596656666668,0.828156999,0.8150066656666668,0.777224999,0.8367383323333332,1.0296608325,1.0969258325,1.298373332916667,1.902566666416666,1.8791441665,1.678940833333333,1.8285875,2.014885833333333,1.860465833333334,2.021556666666667,2.109725,2.423075,2.6846455,2.772206666666668,3.324196666666668,3.650763333333332,4.22588,4.62439525,5.102241666666668,5.841416666666668,6.327791666666668,4.949666666666668,4.693833333333335,5.11675,5.8303,6.139408333333332,6.826858333333332,7.155141666666668,6.793625,6.838233333333332,7.640525,8.398908333333331,8.976083333333332,10.12899166666666,10.90115833333334,10.34741666666666,10.199975,10.75586666666667,11.45624166666666,11.08725833333333,12.36880833333334,13.59638333333334,13.56313333333334,13.50238333333334
Central African Republic,626,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.840666544651,174.980667078374,174.985667097436,174.980667078374,174.985667097436,174.985667097436,174.895666754328,180.821105973032,210.238718125891,245.213434789085,245.195101398359,245.26010162116,245.013850686544,245.016350696075,245.027184079042,245.060934207708,245.678436557644,246.000937791281,247.564693756951,259.960574351236,276.403137026845,275.356456685332,252.027627462649,222.889183053227,240.704667637823,214.312900341219,238.950494267059,245.679686566576,225.655860233957,212.721644262377,211.279555414705,271.731452550327,328.60625269899,381.066036024628,436.956665788008,449.262962711607,346.305903554493,300.536562401478,297.848218819378,319.008299487903,272.264787954393,282.10690880882,264.691800750579,283.162579500018,555.204695655697,499.14842590131,511.552430272516,583.669372353396,589.951774567332,615.473349319164,710.207977031367,732.397693260228,693.713226496374,579.897426172466,527.338032291576,527.258362649626,522.425624895176,478.633718476363,446.000041432788,470.293423341398,494.794262222947,471.248625718937,510.556338454251,493.899623852237,493.757329875312,591.21169798261,592.605615063022,580.656749587858,555.446458398226,585.911013180369,575.586004510945,554.530675033104,623.759700911182,606.569750165917,606.3452976090625,581.9284810403395
Canada,156,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.088999999,1.052999999,0.978999999,0.982999999,0.972999999,0.985999999,0.983999999,0.9588443650000003,0.9706189756666668,0.9591137533333335,0.9697667866666668,1.013062515833334,1.068769224083334,1.078514344166667,1.078598419166667,1.077984284166666,1.077341566666666,1.078710424166667,1.077471400833333,1.0767805125,1.044218744166666,1.009810544166666,0.9906625558333335,1.00009014,0.9780175255833335,1.017159263333334,0.9860283040833332,1.063441610833333,1.14065917075,1.171424495833333,1.169226866666667,1.198903120833333,1.233734911666667,1.232411827416667,1.295065610833334,1.365507391666667,1.389471059166667,1.325982581666667,1.230700846666667,1.183972084166667,1.166773626666666,1.145725844166666,1.20872292,1.290087881666666,1.3656734475,1.372445418333333,1.363521635833333,1.384598028333334,1.483505301666666,1.485704819166667,1.485394095,1.548839955,1.570342834166666,1.4010145475,1.301281595,1.211405134166667,1.134344725833333,1.074045621666667,1.067086918333333,1.141535405912698,1.030112735175984,0.9892581586363638,0.9993647435930738,1.030137363730158,1.104747132378863,1.278786203625542,1.325615163748196,1.297935846460393,1.295817928135338,1.326793362660122,1.34115267222386,1.253876902126798,1.301554774743554,1.349908640793904,1.369359766040919,1.39801326336675
Switzerland,146,"Exchange rates, domestic currency per usd, period average, rate",ENDA_XDC_USD_RATE,Value,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.37295000337295,4.133854168312022,3.819249999,3.164833332416668,2.979249999,2.581283332416668,2.49964166575,2.403524999333333,1.78802499925,1.662724999083333,1.675708332583334,1.964241665916666,2.030274999083333,2.09914166575,2.349683332833334,2.457125,1.7989166665,1.491191666666666,1.4633,1.635925,1.389158333333333,1.433991666666667,1.406218333333333,1.477616666666666,1.3676925,1.182469166666667,1.23601,1.4513125,1.449813308333333,1.502155,1.6888425,1.687615,1.5586075,1.346650833333333,1.243495833333334,1.245176666666667,1.253843333333334,1.200365833333334,1.08309,1.08814169630268,1.042905645733516,0.888042028223281,0.9376844807093492,0.9269035477582845,0.9161510472836132,0.962381328004354,0.9853943942448345,0.9846916666666665,0.9778916666666668,0.9937091666666668,0.938965,0.9138458333333332,0.9548325,0.89849,0.8804408333333332,0.8313558333333335
